taxon_name	genus_status	max_ma	min_ma
Parotodus	extinct	47.8	37.71
Physogaleus	extinct	47.8	37.71
Trigonotodus	extinct	47.8	37.71
Xiphodolamia	extinct	47.8	37.71
Otodus	extinct	47.8	37.71
Carcharias	extant	47.8	37.71
Cretalamna	extinct	47.8	37.71
Hexanchus	extant	47.8	37.71
Isurolamna	extinct	47.8	37.71
Jaekelotodus	extinct	47.8	37.71
Myliobatis	extant	47.8	37.71
Parotodus	extinct	47.8	37.71
Physogaleus	extinct	47.8	37.71
Xiphodolamia	extinct	47.8	37.71
Otodus	extinct	47.8	37.71
Carcharias	extant	47.8	37.71
Hexanchus	extant	47.8	37.71
Isurolamna	extinct	47.8	37.71
Macrorhizodus	extinct	47.8	37.71
Myliobatis	extant	47.8	37.71
Parotodus	extinct	47.8	37.71
Xiphodolamia	extinct	47.8	37.71
Otodus	extinct	47.8	37.71
Hypotodus	extinct	47.8	37.71
Isurolamna	extinct	47.8	37.71
Macrorhizodus	extinct	47.8	37.71
Myliobatis	extant	47.8	37.71
Parotodus	extinct	47.8	37.71
Physogaleus	extinct	47.8	37.71
Xiphodolamia	extinct	47.8	37.71
Otodus	extinct	47.8	37.71
Cretalamna	extinct	47.8	37.71
Hexanchus	extant	47.8	37.71
Macrorhizodus	extinct	47.8	37.71
Parotodus	extinct	47.8	37.71
Physogaleus	extinct	47.8	37.71
Xiphodolamia	extinct	47.8	37.71
Otodus	extinct	47.8	37.71
Dasyatis	extant	11.63	5.333
Parotodus	extinct	47.8	37.71
Physogaleus	extinct	47.8	37.71
Xiphodolamia	extinct	47.8	37.71
Anomotodon	extinct	47.8	37.71
Otodus	extinct	47.8	37.71
Squalus	extant	37.71	33.9
Palaeohypotodus	extinct	37.71	33.9
Pristiophorus	extant	37.71	33.9
Squatina	extant	37.71	33.9
Striatolamia	extinct	37.71	33.9
Striatolamia	extinct	37.71	33.9
Alopias	extant	33.9	27.82
Araloselachus	extinct	33.9	27.82
Atlantoraja	extant	33.9	27.82
Carcharhinus	extant	33.9	27.82
Carcharias	extant	33.9	27.82
Dasyatis	extant	33.9	27.82
Galeocerdo	extant	33.9	27.82
Galeorhinus	extant	33.9	27.82
Isurolamna	extinct	33.9	27.82
Keasius	extinct	33.9	27.82
Lethenia	extinct	33.9	27.82
Macrorhizodus	extinct	33.9	27.82
Myliobatis	extant	33.9	27.82
Notorynchus	extant	33.9	27.82
Pachyscyllium	extinct	33.9	27.82
Parotodus	extinct	33.9	27.82
Physogaleus	extinct	33.9	27.82
Pristiophorus	extant	33.9	27.82
Rhinoptera	extant	33.9	27.82
Scyliorhinus	extant	33.9	27.82
Squalus	extant	33.9	27.82
Squatina	extant	33.9	27.82
Woellsteinia	extinct	33.9	27.82
Otodus	extinct	33.9	27.82
Megachasma	extant	37.71	33.9
Otodus	extinct	33.9	27.82
Carcharhinus	extant	2.58	0.0117
Carcharhinus	extant	47.8	37.71
Cretolamna	extinct	66	56
Isurolamna	extinct	66	56
Myliobatis	extant	66	56
