taxon_name	status	max_ma	min_ma
Acrosqualiolus mirus	extinct	41.2	37.71
Apristurus sereti	extinct	41.2	37.71
Centrophorus granulosus	extant	41.2	37.71
Eosqualiolus aturensis	extinct	41.2	37.71
Eostegostoma angustum	extinct	41.2	37.71
Galeorhinus duchaussoisi	extinct	41.2	37.71
Hemiscyllium bruxelliensis	extinct	41.2	37.71
Hemiscyllium tailledisensis	extinct	41.2	37.71
Heterodontus vincenti	extinct	41.2	37.71
Hexanchus agassizi	extinct	41.2	37.71
Isistius trituratus	extinct	41.2	37.71
Isurolamna affinis	extinct	41.2	37.71
Mitsukurina maslinensis	extinct	41.2	37.71
Orectoloboides reyndersi	extinct	41.2	37.71
Paraetmopterus nolfi	extinct	41.2	37.71
Pararhincodon germaini	extinct	41.2	37.71
Premontreia gilberti	extinct	41.2	37.71
Pristiophorus lacipidinensis	extinct	41.2	37.71
Raja marandati	extinct	41.2	37.71
Scymnodalatias cigalafulgosii	extinct	41.2	37.71
Squatina prima	extinct	41.2	37.71
Torpedo acarinata	extinct	41.2	37.71
Heptranchias howellii	extinct	33.9	27.82
Carcharhinus leucas	extant	3.6	2.58
Abdounia enniskilleni	extinct	47.8	37.71
Cretolamna lerichei	extinct	47.8	37.71
Galeocerdo eaglesomei	extinct	47.8	37.71
Galeorhinus galeus	extant	47.8	37.71
Macrorhizodus praecursor	extinct	47.8	37.71
Nebrius thielensis	extinct	47.8	37.71
Physogaleus secundus	extinct	47.8	37.71
Pristis lathami	extinct	47.8	37.71
Pseudabdounia recticona	extinct	47.8	37.71
Sphyrna laevissima	extinct	47.8	37.71
Striatolamia macrota	extinct	47.8	37.71
Otodus obliquus	extinct	47.8	37.71
Abdounia enniskilleni	extinct	37.71	33.9
Araloselachus cuspidatus	extinct	37.71	33.9
Brachycarcharias twiggsensis	extinct	37.71	33.9
Galeocerdo eaglesomei	extinct	37.71	33.9
Hemipristis curvatus	extinct	37.71	33.9
Heterodontus pineti	extinct	37.71	33.9
Macrorhizodus praecursor	extinct	37.71	33.9
Nebrius thielensis	extinct	37.71	33.9
Negaprion eurybathrodon	extinct	37.71	33.9
Pristis lathami	extinct	37.71	33.9
Propristis schweinfurthi	extinct	37.71	33.9
Eoplinthicus yazooensis	extinct	37.71	33.9
Brachycarcharias lerichei	extinct	47.8	37.71
Glueckmanotodus heinzelini	extinct	59.2	56
Hypotodus verticalis	extinct	47.8	37.71
Jaekelotodus trigonalis	extinct	37.71	33.9
Orpodon heersensis	extinct	61.6	59.2
Striatolamia macrota	extinct	56	47.8
Otodus auriculatus	extinct	56	47.8
Otodus auriculatus	extinct	37.71	33.9
Otodus auriculatus	extinct	47.8	41.2
Otodus auriculatus	extinct	47.8	37.71
Otodus auriculatus	extinct	37.71	33.9
Otodus auriculatus	extinct	41.2	37.71
Otodus auriculatus	extinct	56	47.8
Carcharhinus limbatus	extant	3.6	1.8
Carcharhinus obscurus	extant	3.6	1.8
Otodus obliquus	extinct	61.6	59.2
Otodus obliquus	extinct	61.6	59.2
Otodus obliquus	extinct	66	61.6
Otodus auriculatus	extinct	47.8	37.71
Macrorhizodus flandricus	extinct	33.9	27.82
Nebrius obliquus	extinct	56	47.8
Ouledia sigei	extinct	56	47.8
Ouledia sigei	extinct	56	47.8
Serratolamna aschersoni	extinct	56	47.8
Ouledia sigei	extinct	56	47.8
Abdounia beaugei	extinct	56	47.8
Abdounia minutissima	extinct	56	47.8
Aetobatus irregularis	extinct	56	47.8
Brachycarcharias lerichei	extinct	56	47.8
Burnhamia daviesi	extinct	56	47.8
Dasyatis jaekeli	extinct	56	47.8
Foumtizia pattersoni	extinct	56	47.8
Galeorhinus duchaussoisi	extinct	56	47.8
Galeorhinus ypresiensis	extinct	56	47.8
Hypotodus verticalis	extinct	56	47.8
Isistius trituratus	extinct	56	47.8
Isurolamna affinis	extinct	56	47.8
Jaekelotodus robustus	extinct	56	47.8
Microscyliorhinus burnhamensis	extinct	56	47.8
Nebrius thielensis	extinct	56	47.8
Odontaspis winkleri	extinct	56	47.8
Pachygaleus lefevrei	extinct	56	47.8
Palaeohypotodus rutoti	extinct	56	47.8
Parotodus pavlovi	extinct	56	47.8
Physogaleus secundus	extinct	56	47.8
Premontreia degremonti	extinct	56	47.8
Premontreia gilberti	extinct	56	47.8
Pristis lathami	extinct	56	47.8
Pseudabdounia recticona	extinct	56	47.8
Rhinobatos bruxelliensis	extinct	56	47.8
Rhizoprionodon ganntourensis	extinct	56	47.8
Squalus minor	extinct	56	47.8
Squatina prima	extinct	56	47.8
Striatolamia macrota	extinct	56	47.8
Sylvestrilamia teretidens	extinct	56	47.8
Otodus obliquus	extinct	56	47.8
Abdounia beaugei	extinct	56	47.8
Abdounia minutissima	extinct	56	47.8
Aetobatus irregularis	extinct	56	47.8
Brachycarcharias lerichei	extinct	56	47.8
Burnhamia daviesi	extinct	56	47.8
Dasyatis jaekeli	extinct	56	47.8
Foumtizia pattersoni	extinct	56	47.8
Galeorhinus duchaussoisi	extinct	56	47.8
Galeorhinus ypresiensis	extinct	56	47.8
Hypotodus verticalis	extinct	56	47.8
Isurolamna affinis	extinct	56	47.8
Jaekelotodus robustus	extinct	56	47.8
